index,Signal0,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,X,Y
185,28,28,27,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,28,36,36,34,34,33,33,33,33,33,33,33,36,36,36,37,37,37,37,36,36,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,0,-1
186,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,0,-1
187,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,36,36,36,37,37,37,37,36,36,36,36,36,36,36,36,36,36,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
188,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,28,28,28,28,36,36,36,36,36,36,34,33,33,33,33,33,33,33,33,36,36,36,37,37,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,0,-1
189,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,0,-1
190,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,36,36,36,36,37,37,37,36,36,36,36,36,36,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
191,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,33,35,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,0,-1
192,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
193,28,28,27,26,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,36,36,34,33,33,33,33,33,33,33,33,35,36,36,37,37,37,37,36,36,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,0,-1
194,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,0,-1
195,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,35,36,36,36,37,37,37,37,36,36,36,36,36,36,36,36,36,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
196,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,27,28,28,28,36,36,36,36,36,36,35,34,33,33,33,33,33,33,33,35,36,36,36,36,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,0,-1
197,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,0,-1
198,26,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,35,36,36,37,37,36,36,36,36,36,36,36,36,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
199,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,36,36,36,36,36,36,36,36,36,36,35,33,33,33,33,33,33,33,33,35,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,0,-1
200,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,36,36,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
201,28,28,27,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,36,36,35,34,33,33,33,33,33,33,33,35,36,36,36,37,36,36,36,36,22,22,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,0,-1
202,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,26,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,33,33,33,33,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,0,-1
203,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,34,36,36,36,37,37,37,37,36,36,36,36,36,36,36,36,36,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
204,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,26,27,28,28,28,36,36,36,36,36,36,36,34,33,33,33,33,33,33,33,34,36,36,36,37,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,0,-1
205,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,0,-1
206,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,34,36,36,36,37,37,37,36,36,36,36,36,36,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,0,-1
